# spec: using-the-data.md
# sha256: 8075a18763dd227f42bb438806ab3d1c114f32cb71e1fccc519f36128a5ac595
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
friendly farp	behavior		A FARP with clearing = 0, exposure 0.4 and a road 250 m away, candidate 2 in the design doc, is the prudent choice.	FARP or forward base for the player's own side	campaign is willing to pay. A FARP with `clearing = 0`, exposure 0.4 and
friendly farp	behavior		A FARP in a town with clearing = 14 is faster to reach by road and easier to find.	FARP or forward base for the player's own side	prudent choice; a FARP in a town with `clearing = 14` is faster to reach
filtering	constraint		Filter by hard constraint, then band, then draw; never filter on the weighted score.	Filtering patterns	- **Hard constraint, then band, then draw.** Never filter on the
weighted score	behavior		Filtering on the weighted score hides which term drove the rank.	Filtering patterns	weighted score; it hides which term drove the rank.
difficulty dial	behavior		Two candidates differing in one term are the interesting pair; same coverage with different unmask distance is a pure difficulty dial.	Filtering patterns	- **Two candidates that differ in one term** are the interesting pair
quantiles	constraint	UNVERIFIED	The bands are initial values reasoned from the Caucasus examples, not measured calibrations; on other theatres compute the metric over the top 50 and split by quantile.	Filtering patterns	initial values reasoned from the Caucasus examples, not measured
quantiles	goal		Quantile splitting makes every theatre still yield all four bands.	Filtering patterns	split by quantile so every theatre still yields all four bands.
clearance_m	constraint		Check clearance_m on any decision that depends on one visible call; under 10 m either way re-evaluate at ±5 m altitude.	Filtering patterns	call.** Under 10 m either way, re-evaluate at ±5 m altitude before
free approach	behavior		When the player chooses the heading, classify on approach_spectrum and its sector_summary from their origin.	Filtering patterns	- **Spectrum for free approach, profile for a briefed route.** When
prescribed route	behavior		When the mission gives a route, run unmask_profile on the route they will actually get, not on a straight line.	Filtering patterns	route, run `unmask_profile` on the route they will actually get, not
blind_arcs	behavior		The blind arc list is the debrief sentence; keep it with the placed object and show it after the mission whether or not the player found it.	Filtering patterns	- **Blind arcs are the debrief.** The arc list is a sentence: "there
metric vector	behavior		Keep the metric vector with the placed object in the campaign overlay for debriefs and so the next mission can reuse or avoid the terrain trick.	Filtering patterns	- **Keep the metric vector with the placed object** in the campaign
